Signal,Entry,StopLoss,Target,Exit,Result,PnL
BUY CALL,23977.0,23951.67,24027.67,23951.67,LOSS,-25.33
BUY CALL,23987.35,23962.8,24036.45,23962.8,LOSS,-24.55
BUY CALL,23986.55,23963.04,24033.56,23963.04,LOSS,-23.51
BUY CALL,23863.85,23837.21,23917.13,23837.21,LOSS,-26.64
BUY CALL,23888.95,23861.77,23943.31,23861.77,LOSS,-27.18
BUY CALL,23670.2,23643.34,23723.92,23670.2,OPEN,0.0
BUY CALL,23663.2,23636.91,23715.79,23715.79,WIN,52.59
BUY CALL,23682.2,23654.86,23736.87,23736.87,WIN,54.67
BUY CALL,23698.25,23672.2,23750.34,23750.34,WIN,52.09
BUY CALL,23704.05,23678.44,23755.28,23755.28,WIN,51.23
BUY CALL,23696.7,23671.09,23747.91,23747.91,WIN,51.21
BUY CALL,23713.95,23687.56,23766.73,23766.73,WIN,52.78
BUY CALL,23713.05,23687.03,23765.09,23765.09,WIN,52.04
BUY CALL,23702.85,23676.52,23755.51,23755.51,WIN,52.66
BUY CALL,23717.25,23690.45,23770.84,23770.84,WIN,53.59
BUY CALL,23737.45,23709.72,23792.91,23792.91,WIN,55.46
BUY CALL,23784.25,23754.08,23844.58,23784.25,OPEN,0.0
BUY CALL,23766.5,23735.65,23828.2,23766.5,OPEN,0.0
BUY CALL,23771.2,23740.26,23833.07,23771.2,OPEN,0.0
BUY CALL,23793.65,23760.82,23859.31,23793.65,OPEN,0.0
BUY CALL,23799.9,23766.35,23867.0,23766.35,LOSS,-33.55
BUY CALL,23795.45,23763.23,23859.88,23763.23,LOSS,-32.22
BUY CALL,23797.5,23765.26,23861.98,23765.26,LOSS,-32.24
BUY CALL,23774.65,23740.66,23842.63,23740.66,LOSS,-33.99
BUY CALL,23767.5,23733.43,23835.63,23767.5,OPEN,0.0
BUY CALL,23783.85,23750.61,23850.32,23750.61,LOSS,-33.24
BUY CALL,23790.9,23756.72,23859.26,23756.72,LOSS,-34.18
BUY CALL,23791.05,23756.91,23859.32,23756.91,LOSS,-34.14
BUY CALL,23790.65,23757.03,23857.88,23757.03,LOSS,-33.62
BUY CALL,23790.45,23760.9,23849.54,23760.9,LOSS,-29.55
BUY CALL,23912.3,23867.15,24002.61,23912.3,OPEN,0.0
BUY CALL,23929.4,23883.16,24021.89,23929.4,OPEN,0.0
BUY CALL,23939.95,23892.69,24034.47,23939.95,OPEN,0.0
