Date,EntryTime,ExitTime,Signal,Entry,Exit,StopLoss,Target,Status,PnL,Return
2026-08-18,2026-08-18 10:38:21,11:15:17,BUY PUT,25.1,19.7,20.38,41.33,CLOSED,-405.0,-21.51
2026-08-18,2026-08-18 11:29:09,11:59:17,BUY PUT,24.75,18.75,18.97,40.2,CLOSED,-450.0,-24.24
2026-08-18,2026-08-18 12:40:16,12:45:32,BUY PUT,12.8,17.25,17.9,33.2,CLOSED,333.75,34.77
2026-08-19,2026-08-19 08:42:45,08:52:07,BUY PUT,123.3,114.55,114.58,143.34,CLOSED,-656.25,-7.1
2026-08-20,2026-08-20 09:16:07,09:39:39,BUY CALL,141.25,139.15,139.28,155.8,CLOSED,-157.5,-1.49
2026-08-21,2026-08-21 06:45:25,06:46:42,BUY CALL,95.0,84.8,85.22,115.25,CLOSED,-765.0,-10.74
2026-08-25,2026-08-25 07:27:20,08:14:31,BUY PUT,29.65,32.05,32.25,52.45,CLOSED,180.0,8.09
2026-08-26,2026-08-26T09:30:42.529721+05:30,07:24:09,BUY CALL,126.7,132.4,132.47,149.96,CLOSED,886.3,9.33
2026-08-27,2026-08-27T10:17:08.939782+05:30,08:32:10,BUY PUT,83.4,99.4,87.7,112.4,CLOSED,1200.0,19.18
2026-08-31,2026-08-31T10:42:49.008896+05:30,11:27:50,BUY PUT,55.5,54.45,40.29,93.92,CLOSED,-131.22,-3.15
2026-09-01,2026-09-01T11:12:51.351683+05:30,11:31:12,BUY CALL,52.45,71.5,71.74,70.47,CLOSED,2345.4,29.81
2026-09-01,2026-09-01T12:17:21.890061+05:30,12:24:21,BUY CALL,44.0,38.75,38.87,59.46,CLOSED,-842.05,-12.76
2026-09-01,2026-09-01T12:39:45.834867+05:30,12:48:34,BUY CALL,39.9,41.35,41.41,55.08,CLOSED,162.73,2.72
2026-09-01,2026-09-01T13:55:13.098371+05:30,13:57:04,BUY PUT,36.85,30.15,30.89,52.87,CLOSED,-1058.62,-19.15
2026-09-01,2026-09-01T14:02:13.228959+05:30,14:10:12,BUY PUT,34.65,54.45,54.46,51.73,CLOSED,2352.62,45.26
2026-09-01,2026-09-01T14:15:21.074247+05:30,14:25:26,BUY PUT,50.75,50.8,51.02,68.31,CLOSED,-49.83,-0.65
2026-09-01,2026-09-01T14:30:36.504185+05:30,14:31:50,BUY PUT,43.55,38.0,38.63,61.29,CLOSED,-886.97,-13.58
2026-09-01,2026-09-01T14:36:59.403244+05:30,14:42:09,BUY PUT,41.25,44.3,45.54,59.67,CLOSED,402.42,6.5
